[ 2025-06-18 23:56:02,668 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-18 23:56:11,476 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-18 23:56:11,476 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-18 23:56:11,477 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-18 23:56:11,574 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-18 23:56:11,574 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-18 23:56:11,587 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-18 23:56:11,643 ] 32 root - INFO - required number of columns : 31
[ 2025-06-18 23:56:11,647 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-18 23:56:11,647 ] 32 root - INFO - required number of columns : 31
[ 2025-06-18 23:56:11,647 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-18 23:56:11,649 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-18 23:56:11,650 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-18 23:56:11,959 ] 27 root - INFO - Data Validation Completed
[ 2025-06-18 23:56:11,960 ] 31 root - INFO - Initiate the data transformation
[ 2025-06-18 23:56:11,960 ] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-18 23:56:11,960 ] 55 root - INFO - Starting data transformation
[ 2025-06-18 23:56:12,042 ] 41 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-06-18 23:56:12,042 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-18 23:56:12,067 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-18 23:56:12,077 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 23:56:12,077 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-18 23:56:12,082 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-18 23:56:12,083 ] 33 root - INFO - Data Transformation Completed
[ 2025-06-18 23:56:12,084 ] 35 root - INFO - Model Training started
[ 2025-06-19 00:00:20,611 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 00:00:20,673 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 00:00:20,673 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 00:00:20,731 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 00:00:20,731 ] 100 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_18_2025_23_56_01\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915573186857899, precision_score=0.990650406504065, recall_score=0.9924658928935044), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9760191846522782, precision_score=0.9721337579617835, recall_score=0.9799357945425361))
[ 2025-06-19 00:00:20,736 ] 39 root - INFO - Model Training artifact created
