[ 2025-06-19 19:19:55,911 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-19 19:20:27,109 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-19 19:20:27,110 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-19 19:20:27,110 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-19 19:20:27,202 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-19 19:20:27,202 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-19 19:20:27,211 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-19 19:20:27,253 ] 32 root - INFO - required number of columns : 31
[ 2025-06-19 19:20:27,263 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-19 19:20:27,263 ] 32 root - INFO - required number of columns : 31
[ 2025-06-19 19:20:27,263 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-19 19:20:27,266 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-19 19:20:27,267 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-19 19:20:27,452 ] 27 root - INFO - Data Validation Completed
[ 2025-06-19 19:20:27,452 ] 31 root - INFO - Initiate the data transformation
[ 2025-06-19 19:20:27,453 ] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-19 19:20:27,453 ] 55 root - INFO - Starting data transformation
[ 2025-06-19 19:20:27,491 ] 41 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-06-19 19:20:27,491 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-19 19:20:27,532 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:20:27,535 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:20:27,536 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:20:27,539 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:20:27,540 ] 33 root - INFO - Data Transformation Completed
[ 2025-06-19 19:20:27,541 ] 35 root - INFO - Model Training started
