[ 2025-06-19 19:25:01,474 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-19 19:25:08,894 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-19 19:25:08,894 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-19 19:25:08,895 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-19 19:25:08,987 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-19 19:25:08,988 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-19 19:25:08,999 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-19 19:25:09,051 ] 32 root - INFO - required number of columns : 31
[ 2025-06-19 19:25:09,055 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-19 19:25:09,056 ] 32 root - INFO - required number of columns : 31
[ 2025-06-19 19:25:09,056 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-19 19:25:09,058 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-19 19:25:09,059 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-19 19:25:09,257 ] 27 root - INFO - Data Validation Completed
[ 2025-06-19 19:25:09,258 ] 31 root - INFO - Initiate the data transformation
[ 2025-06-19 19:25:09,258 ] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-19 19:25:09,258 ] 55 root - INFO - Starting data transformation
[ 2025-06-19 19:25:09,288 ] 41 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-06-19 19:25:09,288 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-19 19:25:09,342 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:25:09,345 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:25:09,345 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:25:09,351 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:25:09,352 ] 33 root - INFO - Data Transformation Completed
[ 2025-06-19 19:25:09,352 ] 35 root - INFO - Model Training started
[ 2025-06-19 19:29:33,037 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:29:33,046 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:29:33,047 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:29:33,055 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:29:33,055 ] 116 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_19_2025_19_24_58\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912083418523819, precision_score=0.9895897121861604, recall_score=0.9928322752406308), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9742589703588144, precision_score=0.9682170542635659, recall_score=0.9803767660910518))
[ 2025-06-19 19:29:33,059 ] 39 root - INFO - Model Training artifact created
