[ 2025-06-19 19:12:10,984 ] 19 root - INFO - Initiate the data ingestion
[ 2025-06-19 19:12:17,581 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-19 19:12:17,581 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-19 19:12:17,582 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-19 19:12:17,648 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-19 19:12:17,649 ] 21 root - INFO - Data Initiation Completed
[ 2025-06-19 19:12:17,666 ] 25 root - INFO - Initiate the data Validation
[ 2025-06-19 19:12:17,704 ] 32 root - INFO - required number of columns : 31
[ 2025-06-19 19:12:17,705 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-19 19:12:17,705 ] 32 root - INFO - required number of columns : 31
[ 2025-06-19 19:12:17,705 ] 33 root - INFO - number of columns dataframe has : 31
[ 2025-06-19 19:12:17,706 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-19 19:12:17,707 ] 61 root - INFO - Numerical columns validation passed.
[ 2025-06-19 19:12:17,908 ] 27 root - INFO - Data Validation Completed
[ 2025-06-19 19:12:17,909 ] 31 root - INFO - Initiate the data transformation
[ 2025-06-19 19:12:17,909 ] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-19 19:12:17,909 ] 55 root - INFO - Starting data transformation
[ 2025-06-19 19:12:17,957 ] 41 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-06-19 19:12:17,957 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-19 19:12:17,988 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:12:17,994 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:12:17,994 ] 46 root - INFO - Entered the save_object method of MainUtils Class
[ 2025-06-19 19:12:18,012 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-19 19:12:18,016 ] 33 root - INFO - Data Transformation Completed
[ 2025-06-19 19:12:18,016 ] 35 root - INFO - Model Training started
